name,price_usd,price_btc,total_supply,market_cap_usd,available_supply,eth_price_launch,btc_price_launch,total_24h_usd,social_k,month,day,country,output
siacoin,0.001355,0.00000017,48028312992,56647237,48028312992,186,224.77,1743746,45,8,27,33,0.002791
stacks,0.09,0.00001100,1352464600,18723457,1150488044,190.34,9427.69,205923,22,10,29,37,0.16
status,0.009204,0.00000113,6804870174,31943286,3470483788,302.88,2539.32,75694725,16,6,29,182,0.03
stellar,0.05,0.00000612,50001803165,926865627,23137790433,187.52,584.65,211752195,21,8,6,141,0.07
swipe,1.46,0.00017878,239612084,89239903,95181302,187.52,10185.5,16131077,22,8,27,29,0.48
swiss_borg,0.02,0.00000245,1000000000,13516493,1000000000,834.68,8277.01,107417,28,2,4,29,0.08
synthetix,0.89,0.00010898,215258834,139753832,114841533,611.3,8300.86,127957,29,3,15,148,1.07
telcoin,0.0003266,0.00000004,100000000000,14091235,52027110195,1053.69,11490.5,75264,8,1,16,51,0.000292
terra,0.2,0.00002450,993730039,58865991,416582464,311.23,12407.33,4256754,45,6,28,10,0.21
tezos,1.31,0.00016041,536914701,906795252,536814700,292.46,4317.48,41884562,12,10,3,182,2.67
theta,0.09,0.00001100,1000000000,82678104,1000000000,1036.28,11474.9,1828385,11,1,18,182,0.25
theta_fuel,0.002382,0.00000029,5301214400,9143001,5301214200,142.5,4098.37,767910,14,3,29,29,0.01
thorchain,0.1,0.00001220,461668422,11903303,213536800,217.05,9811.93,178227,25,7,24,155,0.2
thore_coin,1587.11,0.19434278,100000,137580498,86686,322.11,6295.73,142423,31,8,11,78,"1,839.96"
tron,0.01,0.00000122,101000000000,974492902,71659657369,337.63,6635.75,1156355120,12,11,14,155,0.02
true_usd,1,0.00012245,1374667295,149062480,1374667195,752.83,9965.57,596123192,23,3,7,37,1
unibright,0.02,0.00000245,150000000,3052436,149999999,647.74,8041.78,83156,13,5,22,86,0.41
unus_sed_leo,0.87,0.00010653,985239504,870060185,953954130,244.7,7680.07,8387854,14,5,22,155,1.24
usd_coin,1,0.00012245,23058008317,444501900,23058006317,227.98,6642.64,350097573,12,10,9,182,1
vechain,0.005452,0.00000067,86712634466,302332825,64315576989,407.25,7032.85,140759599,22,8,4,56,0.009737
velas,0.02,0.00000245,2124380663,27062140,1419198849,176.99,8205.94,1809688,14,10,4,182,0.08
voyager,0.03,0.00000367,222295209,6088336,222294208,370.06,2589.6,2993337,16,6,19,156,0.06
wanchain,0.17,0.00002080,192128581,18119360,169028581,526.44,8668.12,1671295,17,3,24,182,0.23
waves,0.83,0.00010163,105228274,83458298,105312708,13.85,569.19,37054297,18,6,3,155,1.21
wax,0.02,0.00000245,3736661249,18425177,1597000392,674.86,13831.8,370525,26,12,22,182,0.05
whitecoin,0.006346,0.00000078,926671050,1587569,726671049,144.2,501.57,87442,22,4,19,182,0.18
xinfin_net,0.00105,0.00000013,37669325588,4154370,12271638545,278.93,6199.71,298068,23,8,14,33,0.003879
zb_token,0.21,0.00002570,2100000000,98064057,463288810,122.44,4257.42,51266506,22,11,28,182,0.22
zcash,33.65,0.00412047,11943156,285237275,11943156,11.18,701.86,214184771,11,10,30,182,51.72
zilliqa,0.004656,0.00000057,14650148524,45702513,11358681371,1055.17,11171.4,5144893,23,1,26,155,0.03
